value,type,category,severity,source_count,sources,timestamp
103.35.74.100,ip,network,High,3,SampleFeed_CSV|SampleFeed_JSON|SampleFeed_TXT,2026-05-27T05:04:54.410795+00:00
185.220.101.45,ip,network,High,4,SampleFeed_CSV|SampleFeed_JSON|SampleFeed_STIX|SampleFeed_TXT,2026-05-27T05:04:54.410748+00:00
91.108.4.0,ip,network,High,4,SampleFeed_CSV|SampleFeed_JSON|SampleFeed_STIX|SampleFeed_TXT,2026-05-27T05:04:54.410768+00:00
aabbccdd11223344aabbccdd11223344aabbccdd11223344aabbccdd11223344,sha256,file,High,4,SampleFeed_CSV|SampleFeed_JSON|SampleFeed_STIX|SampleFeed_TXT,2026-05-27T05:04:54.410786+00:00
https://phishing-kit.tk/login.php,url,network,High,3,SampleFeed_CSV|SampleFeed_STIX|SampleFeed_TXT,2026-05-27T05:04:54.410798+00:00
login.php,domain,network,High,3,SampleFeed_CSV|SampleFeed_STIX|SampleFeed_TXT,2026-05-27T05:04:54.410803+00:00
malware.example.com,domain,network,High,4,SampleFeed_CSV|SampleFeed_JSON|SampleFeed_STIX|SampleFeed_TXT,2026-05-27T05:04:54.410772+00:00
phishing-kit.tk,domain,network,High,3,SampleFeed_CSV|SampleFeed_STIX|SampleFeed_TXT,2026-05-27T05:04:54.410801+00:00
update-service.biz,domain,network,High,3,SampleFeed_JSON|SampleFeed_STIX|SampleFeed_TXT,2026-05-27T05:04:54.410846+00:00
44d88612fea8a8f36de82e1278abb02f,md5,file,Medium,2,SampleFeed_CSV|SampleFeed_TXT,2026-05-27T05:04:54.410784+00:00
attacker-domain.xyz,domain,network,Medium,2,SampleFeed_CSV|SampleFeed_TXT,2026-05-27T05:04:54.410793+00:00
dropper.exe,domain,network,Medium,2,SampleFeed_CSV|SampleFeed_TXT,2026-05-27T05:04:54.410781+00:00
evil-payload.ru,domain,network,Medium,2,SampleFeed_CSV|SampleFeed_TXT,2026-05-27T05:04:54.410778+00:00
https://evil-payload.ru/dropper.exe,url,network,Medium,2,SampleFeed_CSV|SampleFeed_TXT,2026-05-27T05:04:54.410776+00:00
phish@attacker-domain.xyz,email,identity,Medium,2,SampleFeed_CSV|SampleFeed_TXT,2026-05-27T05:04:54.410790+00:00
194.165.16.72,ip,network,Low,1,SampleFeed_TXT,2026-05-27T05:04:54.410876+00:00
45.142.212.100,ip,network,Low,1,SampleFeed_TXT,2026-05-27T05:04:54.410873+00:00
badactor.cc,domain,network,Low,1,SampleFeed_CSV,2026-05-27T05:04:54.410806+00:00
cdn-fast-delivery.ru,domain,network,Low,1,SampleFeed_TXT,2026-05-27T05:04:54.410890+00:00
da39a3ee5e6b4b0d3255bfef95601890afd80709,sha1,file,Low,1,SampleFeed_TXT,2026-05-27T05:04:54.410860+00:00
dropper@malspam-group.net,email,identity,Low,1,SampleFeed_JSON,2026-05-27T05:04:54.410823+00:00
https://cdn-fast-delivery.ru/stage2.bin,url,network,Low,1,SampleFeed_TXT,2026-05-27T05:04:54.410852+00:00
https://malicious-cdn.net/payload.js,url,network,Low,1,SampleFeed_JSON,2026-05-27T05:04:54.410808+00:00
malicious-cdn.net,domain,network,Low,1,SampleFeed_JSON,2026-05-27T05:04:54.410829+00:00
malspam-group.net,domain,network,Low,1,SampleFeed_JSON,2026-05-27T05:04:54.410843+00:00
noreply@cdn-fast-delivery.ru,email,identity,Low,1,SampleFeed_TXT,2026-05-27T05:04:54.410881+00:00
payload.js,domain,network,Low,1,SampleFeed_JSON,2026-05-27T05:04:54.410837+00:00
phishing-domain.xyz,domain,network,Low,1,SampleFeed_JSON,2026-05-27T05:04:54.410826+00:00
stage2.bin,domain,network,Low,1,SampleFeed_TXT,2026-05-27T05:04:54.410901+00:00
telemetry-check.xyz,domain,network,Low,1,SampleFeed_TXT,2026-05-27T05:04:54.410893+00:00
